masked_acct,Vintage,ChargeOffMOB,BalanceAtDefault,FICOScore,FICOScorePctAvgFICOLast30DaysBookedLoans,NewUsedIndicator,VehicleManufacturerRebate,VehicleValueBlackBook,MoodysGDPReal,FinancedAmt,CashDownPmt,CashDownPmtPctBBVehicleValue,PaymentAmt,PaymentToFinancedAmtRatio,PTILine5,BackendTotalAmt,TotalDownPmt,rate_recovery
02cf7b545bd0b52ed473d054255ff62f,201502,26,21204.91,463,0.8551,0,0,20850,236.33,26512.3301,5000,0.2398,578.76,0.0218,0.0965,2000,5000,0.0079
02d8abc759662770d74587d5ae849979,201607,29,8643.76,570,1.0871,0,0,7150,496.82,10501,1200,0.1678,287.59,0.0274,0.1829,0,2454.14,0.1967
02e906950d09e0b92e353740176b5ecd,201606,8,25860.13,511,0.9793,0,0,21125,288.34,25953.6094,5000,0.2367,548.57,0.0211,0.0527,750,5000,0.5995
02eec1a27d86391e0cf72d97c094548f,201711,4,20188.34,,,0,0,14000,489.47,20352.2402,1000,0.0714,464.19,0.0228,0.0976,1700,1000,0.6673
02f9a90b9f17219d52f32bdb941b6c5a,201603,9,16606.69,,,1,1000,11350,189.78,16934,0,0,374.54,0.0221,0.1107,2000,1970.87,0.5692
030da0f1b5d22780239ec59c4d32d866,201501,10,12072.01,525,0.9635,0,0,9075,460.47,12268.4199,600,0.0661,313.87,0.0256,0.145,0,1550,0.5658
0313253477360cdbd64de5532ef2c3e1,201509,18,11380.04,,,0,0,9825,843.58,12198.21,1000,0.1018,367.3,0.0301,0.1322,795,3400,0.3785
031dbe413bb3311fe5f8296159c4fd10,201603,6,17965,574,1.1125,0,0,12075,311.32,17965,2100,0.1739,450.01,0.025,0.1447,2500,2100,0.3999
032bd4e1f96f32eb0e71da840b8cec34,201607,24,9704.9,,,0,0,7750,228.52,11815,1500,0.1935,311.13,0.0263,0.1436,895,3755,0.2138
03316cb3bf2d1c09f69406780011b4fc,201603,20,23662.91,468,0.904,1,4000,15050,1595.01,25441,2727.83,0.1813,583.87,0.0229,0.1128,795,-5351.84,0.4483
033e0faae4592e9348fe3f63a7f85034,201505,11,18829.1,,,1,1500,19125,188.88,20330.3398,6000,0.3137,408.01,0.0201,0.1077,0,6000,0.7661
03434a330844df5611a8339e13fb2bd6,201703,14,9155.78,,,0,0,7100,687.71,9840,2498,0.3518,249.83,0.0254,0.1033,2000,2498,0.5132
03442e06e291045eb73b9df064bd6c6f,201602,4,20556.64,455,0.8728,1,4000,11950,1596.74,20556.6406,2000,0.1674,472.31,0.023,0.1795,2000,2000,0.7167
0348ba66a1e1e1e72f93cd4384ef7693,201506,6,19601.68,492,0.9085,0,0,13825,182.14,19601.6797,1820,0.1316,449.85,0.0229,0.1153,1650,1820,0.6735
035aa6bf58e4ec5e182e0501add76b5d,201605,22,13460.89,419,0.7997,0,0,12275,1593.87,14618.1797,2500,0.2037,350.45,0.024,0.1126,1995,2500,0.6152
035ec561997a151d1a237c656e4854c8,201612,20,13418.58,551,1.0567,0,0,9750,878.87,14113.3496,2500,0.2564,342.74,0.0243,0.0591,695,2500,0.4264
0363e8d4b864227fe22bdaccfa851186,201502,12,24773.39,500,0.9229,1,1750,17025,473.34,25727.3301,1000,0.0587,614.07,0.0239,0.113,795,1000,0.5582
0372ec8303a29445c0b80e90a10e95e6,201612,6,10577,,,0,0,7750,878.87,10577,2182,0.2815,313.63,0.0297,0.0814,0,2182,0.2004
0376f19fc8e3e87529d0c4b0bd5d317c,201501,23,14297.97,580,1.0694,0,0,11825,1576.43,17442.1191,750,0.0634,388.28,0.0223,0.175,2000,750,0.3896
0383dcc362681f86b99cfc502ebd886e,201503,8,14981.45,,,0,0,10075,179.58,15050.7002,3000,0.2978,382.01,0.0254,0.1353,2795,3000,0.1601
03870c06cb7b908da40af263727643b8,201510,6,11700,,,0,0,5650,748.95,11700,1100,0.1947,314.87,0.0269,0.1012,1279,1100,0.0899
039f93a6c462dfe98b981b921647c9e7,201505,21,23154.96,,,1,750,17875,470.55,25693.6504,1500,0.0839,536.05,0.0209,0.0483,2790,1500,0.441
03a0afcc55323d5f3d31c09bb6d7ed14,201603,19,10882.73,587,1.1373,0,0,9850,578.57,12172.54,2000,0.203,291.57,0.024,0.1325,0,2000,0.2867
03a8efe3128f886e61b5582f0e115e2c,201502,14,12688.69,,,0,0,11900,464.6,13695.9697,3500,0.2941,283.84,0.0207,0.1092,0,3500,0.2088
03b46f82ff142302626f08cfd1e82010,201501,36,7593.2,,,0,0,4425,188.29,10388,2000,0.452,311,0.0299,0.1417,2795,2500,0.0755
03c2aaf1e68a87a17ef430750295c3b2,201610,21,24853.49,466,0.8935,1,500,17225,292.06,26136.3008,2850,0.1655,646.81,0.0247,0.161,0,2850,0.0604
03cfee9c41ff73281713cd228cbf946a,201503,28,13494.15,511,0.946,1,0,12125,1606.13,16887.0605,3000,0.2474,356.97,0.0211,0.1683,778,3000,0.5379
03e2d2477edb929f060142ed99226eb1,201509,34,14390.48,,,0,0,11200,1601.16,16521.7793,0,0,379.61,0.023,0.1621,795,1700,0.3255
03e9366ff93ad88c4559f00be5c5205d,201512,31,15164.18,546,1.0429,0,0,11950,229.68,16294.0498,1609,0.1346,408.15,0.025,0.0606,0,1609,0.518
03f700154b2b3ce6fbe38e6c3922ca60,201508,32,19765.24,,,0,0,14800,232.42,21594,4000,0.2703,554.03,0.0257,0.1711,2795,5409,0.4929
03faa5615f05c063d199a049ad29e934,201604,17,12548.29,,,0,0,11000,228.6,13784,1500,0.1364,293.15,0.0213,0.1232,795,1500,0.5559
03fb434aaf6e3e138bc0d62821d51b0f,201504,25,31706.25,,,1,1500,23275,679.38,37380,6000,0.2578,815.88,0.0218,0.1506,2000,-968.57,0.5273
03fcd39b1bf89092af2c1a12d1c7adb1,201505,19,20112.09,541,0.9882,0,0,16000,194.09,22089,2000,0.125,513.94,0.0233,0.1285,2795,2000,0.5332
040cbbb77284ba9c8111c7b4db1f8637,201607,19,15070.2,501,0.9561,1,2942,9500,91.47,16496,1500,0.1579,412.97,0.025,0.1811,2950,1500,0.4069
040f2e72ee15274b398dd92c997335f7,201511,9,10562.08,,,0,0,7875,1358.05,10888.0498,1200,0.1524,269.12,0.0247,0.1444,0,1200,0
0419f1f327e824bc73261c0e88ef24b5,201601,19,16022.69,493,0.9457,0,0,13800,181.89,18196.4609,2000,0.1449,446.47,0.0245,0.1089,800,2000,0.4778
0420d2bda6505607a32b1be6f44f8af2,201609,17,20288.8,,,1,1000,13000,308.92,21783.2305,600,0.0462,484.87,0.0223,0.1661,2799,900,0.5535
042b8ca7bde6ed16fa94dd7aa4794d19,201603,19,14058.28,507,0.9814,0,0,10200,284.11,14207.4004,3000,0.2941,373.31,0.0263,0.1788,800,3000,0.0153
0438d542a2878fc94fb06765a4bb8d7d,201611,9,27603.14,532,1.0232,1,0,18525,184.11,27603.1406,0,0,587.26,0.0213,0.126,3395,3000,0.6808
043ec7f12421e48960f4421e1717e815,201604,32,16531.95,,,0,0,12950,448,19462.0391,3000,0.2317,422.2,0.0217,0.1082,3000,3000,0.514
045ac1168a8c1d9f12ae70e137fdb378,201512,13,7210.19,629,1.1967,0,0,5675,456.43,8091.3301,0,0,205.87,0.0254,0.1313,599,1000,0.0637
046f69b633055b64e9ec31961da417dd,201605,6,12937.79,444,0.8463,0,0,10175,495.29,13047,1500,0.1474,348.14,0.0267,0.1451,0,1500,0.6381
04753ec7fced1a43f8ab2cc9b4912477,201512,10,11941.67,580,1.1035,0,0,8825,583.85,12448,3000,0.3399,340.27,0.0273,0.1302,0,3000,0
0478ee24a067e966f5f4068e30649bfe,201603,7,18887.69,508,0.9843,1,0,10350,91.17,19298.5293,2500,0.2415,426.83,0.0221,0.1856,2795,2500,0.5289
047e1823c021e85a6924883c8e64f029,201504,34,17084.31,547,1.0034,1,1500,12850,1601.48,23833.3008,500,0.0389,523.74,0.022,0.1602,2795,1000,0.386
047f32558a73839bd1fb29299d115f46,201606,13,22414.71,501,0.9589,1,2000,12650,306.57,23700.3105,1200,0.0949,527.54,0.0223,0.107,2549,1426.32,0.5484
0490b2405107b8e7928951bf2f545e07,201606,24,17239.24,,,0,0,13200,315.82,18219.3398,3000,0.2273,452.39,0.0248,0.1458,2506,3000,0.0675
0494393a2de6e2093304807499dfcee6,201510,17,15477.1,531,0.9778,1,1000,10950,231.98,17097.0508,1500,0.137,387.89,0.0227,0.1633,795,1500,0.4736
04982b602a685665b56c14a0a388a4d1,201712,6,15350.01,582,1.101,0,0,10850,102.23,15599,700,0.0645,382.65,0.0245,0.0873,2679,700,0.7713
04a5588dfc0cb27842ea35fa9393f746,201612,18,14815.09,,,1,2000,9075,184.05,16297.9697,1155,0.1273,374.35,0.023,0.127,2700,1155,0.394
04ae676e2463c154c55e0ba4c87f9ed5,201507,31,10488.55,539,0.9911,0,0,19425,193.85,14728,9250,0.4762,346.55,0.0235,0.1072,1930,9250,1
04b5eb26b5c3d0609d2158dae6e196af,201503,15,11991.75,,,0,0,7550,475.07,13043,1500,0.1987,334.79,0.0257,0.1288,0,1500,0
04bdedb8cca7cf40aaa84e8d4f2122fd,201606,7,12592.08,432,0.8252,1,1500,11175,1595.15,12592.0801,5000,0.4474,289.32,0.023,0.1206,599,5000,0.7217
04c450ba4c32ca6f7e44796c1ccd7d2f,201606,19,14971.63,635,1.2152,0,0,14175,228.59,15748,3000,0.2116,447.65,0.0284,0.1299,0,3000,0.4161
04d3a69de21ee03b330ceb00d2296d7a,201703,7,15385.52,,,0,0,10175,687.71,15462.8799,500,0.0491,355.09,0.023,0.084,2000,2700,0.7329
04dbef1b78fbe71256c0d8c645f56da4,201610,23,17102.68,545,1.0401,1,1500,10300,227.63,19970.4004,200,0.0194,458.85,0.023,0.1835,2000,1800,0.3327
04e5f4369e2c914f1a812502b6f32705,201501,36,22389.76,,,1,2000,19900,180.25,31240.2305,4000,0.201,651.76,0.0209,0.0701,795,-3362.43,0.6434
04ea7e3ad6210d0d017bfec8007f6ed9,201610,19,20051.87,,,0,0,16875,319.36,22448.9297,7000,0.4148,511.35,0.0228,0.1273,2501,7000,0.4963
04fbdd2771ae7914d6f47f3c8e7adbc1,201603,6,11561.25,491,0.9505,1,3500,7675,69.69,11561.25,0,0,250.81,0.0217,0.1127,0,5000,0.5599
05043e04b4e597154f58fad958b6d844,201506,26,14875.86,,,0,0,10875,189.83,16906,1500,0.1379,395.86,0.0234,0.0751,2795,1500,0.2932
050ec1ced4069c81db0c8619ddb82be1,201711,9,13379,479,0.9098,0,0,8975,280.7,13379,3000,0.3343,390.08,0.0292,0.0831,2500,3000,0.7714
05198fa069a1434d73b05c5e17db2cac,201510,20,12087.2,493,0.9153,0,0,8975,231.98,13017.9102,2000,0.2228,340.92,0.0262,0.1087,1515,2000,0.4916
0520f941e8c3e06cea2258e827478c0a,201501,16,6734.45,,,0,0,4325,237.76,7315.8701,800,0.185,233.73,0.0319,0.0911,795,800,0.4396
052651b355857855a6fef0a4bd99e64b,201504,42,16209.74,555,1.0175,1,1500,15375,469.91,23336.4707,1500,0.0976,536.25,0.023,0.1391,795,1500,0.3207
052c784caf0b35b5cb7a5ccef5bb8008,201604,18,19394.96,,,0,0,17550,473.59,20186.9707,3000,0.1709,436.92,0.0216,0.1592,0,3000,0.7314
05308eab4e705c6b8732753600be4516,201603,29,13658.16,545,1.0561,0,0,11725,189.78,14982,3500,0.2985,382.33,0.0255,0.1808,799,3500,0.529
053835d7b53b4252ef0a7f7cc9909539,201505,15,23402.9,547,0.9991,0,0,22850,1588.76,24498,4000,0.1751,531.45,0.0217,0.0738,0,4000,0
053e1506a48036d18b0792015c6f55f3,201507,38,16865.03,494,0.9086,1,1500,16525,680.93,23944.25,3000,0.1815,506.15,0.0211,0.0195,699,3000,0.6174
0543db2c6fe56ebafecee2840f09215b,201703,19,9356.96,546,1.05,0,0,6000,456.09,10068,1000,0.1667,298.54,0.0297,0.1422,699,2023.62,0.0445
054919db87fb87b96fad28f6418f2086,201605,6,19207.64,530,1.0139,1,0,12875,451.31,19207.6406,2500,0.1942,465.69,0.0242,0.1164,699,2500,0.5731
0552cf398ade3bb8700bf67faf2e9738,201608,7,28869,544,1.034,1,6500,14200,498.28,28869,2669.02,0.188,638.16,0.0221,0.1096,1349,-5927,0.4267
05584cdac4e54eeee4221a34c620bd3e,201602,13,14089.07,551,1.0588,0,0,11275,228.68,14368.0596,2000,0.1774,389.14,0.0271,0.1277,795,2000,0.1701
055ba8b311f0004830fd3045689bf3e5,201702,14,25743.77,512,0.9856,1,1000,16200,229.89,25929.6699,4000,0.2469,586.76,0.0226,0.1467,2695,4000,0.573
0569ee8f7c03a78d6e70dbd50a24f6a3,201611,22,11189.76,517,0.9903,0,0,7400,877.19,12242.9902,2000,0.2703,295.08,0.0241,0.1464,695,2000,0.3505
056c86a0aba25641c7647c80d14fd53b,201505,16,14498.95,583,1.0654,1,1250,9650,1588.76,15673,2500,0.2591,357.46,0.0228,0.1352,0,2500,0.4519
057466915559013bc307a481e6998e89,201611,17,14332.23,479,0.92,1,1750,8775,1381.32,15010.7695,1600,0.1823,388.49,0.0259,0.1405,1099,1600,0.2734
057d147310796d2aa688a87d0da3da15,201703,19,19234.95,474,0.9115,0,0,15525,191.96,20146.4609,3000,0.1932,535.49,0.0266,0.1095,2849,3000,0.6738
0581a78ba2aa2928479222cc78feb078,201606,19,8263.98,522,0.9996,0,0,6850,190.66,9384,1500,0.219,242.71,0.0259,0.1335,795,1500,0.5136
05901f56f0f4e967be9de7086cb1e957,201603,20,14526.63,497,0.9625,1,4000,11950,192.59,15937.7598,1726,0.1444,371,0.0233,0.1598,0,-1716,0.1656
0596a896424ae93f182299a7e4035469,201610,12,23275.4,577,1.1097,0,0,17425,875.94,25173.1504,500,0.0287,528.87,0.021,0.1565,3391,3150,0.8493
05a12cff2812347d26966ca2e089d9b9,201510,33,18630.57,,,0,0,12175,280.48,20253.2207,2000,0.1643,450.86,0.0223,0.0791,2695,2000,0.3605
05b0da8b5eb4ad912ff52fc8a2737144,201607,10,11481.97,,,0,0,8600,307.17,11680.2695,1200,0.1395,318.71,0.0273,0.1257,895,1200,0.3525
05c96ec3c51b1479437c12731e5d9596,201602,30,14373.47,,,0,0,10600,228.68,18140,3000,0.283,439.81,0.0242,0.1289,2000,3000,0.5103
05cd47e46d2023a28a56eab1dce2f1fb,201503,19,19040.4,464,0.8584,1,2500,19000,187.24,21188.5,2000,0.1053,462.54,0.0218,0.1542,0,2000,0.5341
05d3b7337470bbe0f7d16dc0ac13ceac,201505,29,11986.31,610,1.1149,0,0,9350,312.25,13950,1300,0.139,376.35,0.027,0.1536,2790,1300,0.0634
05e1410ce87bd4ce3b942279557ef27f,201707,8,12260.55,,,0,0,9025,692.65,12470.7998,2400,0.2659,299.72,0.024,0.1332,1000,2400,0.487
05f3f0767797d4e6b200049dc4119ee6,201507,27,20355.57,,,1,1200,16025,189.77,22467,1000,0.0624,531.65,0.0237,0.1063,1895,1000,0.3991
05fb14d31e6a7d1b7256c6d4ae09517f,201803,6,17504.17,,,0,0,12850,491.12,17551.9902,1700,0.1323,400.32,0.0228,0.1285,895,1700,0.7704
05fce1a6b134df7f97095c4d99cd85e6,201503,34,10759.1,,,0,0,9300,438.02,15995.6396,3000,0.3226,396.91,0.0248,0.1326,2000,3000,0.2828
